date,Gac 1,Gac 2,Gac 3,Gac 4,Gac 5,Gac 6,Gac 7,Gac 8,Gac 9,Gac 10,Gac 11,Gac 12,Gac 13,Gac 14,Gac 15,Core3,Inflation
1980-01-01,0.009716096826053,-0.0078999996185302,-0.0639000013470649,-0.0483000017702579,-0.0397000014781951,0.0094535705621528,0.0571000017225742,0.063400000333786,0.0446787884518977,0.084094362269014,0.0644142323939386,0.0644534037345223,0.0510650016367435,0.0444919988512992,0.0433,0.0610300004482269,0.0143539998680353
1980-02-01,0.0118887236512694,-0.0467000007629394,-0.0776000022888183,-0.0693999975919723,-0.0584000013768672,-0.0543714582901088,0.006800000090152,9.99999974737875e-05,-0.0364134420189569,-0.0029859843293177,-0.0392400241506468,-0.0099515893396565,0.013663999736309,-0.026325000450015,0.11589,0.0030700000934302,0.0137219997122883
1980-03-01,0.0122698295871876,0.0087999999523162,0.0013999999500811,-0.0082000000402331,-0.0083999997004866,-0.061880284391181,-0.10530000180006,-0.0917999967932701,-0.126482155619529,-0.152787010631136,-0.165336041579851,-0.168614447861656,-0.141443997621536,-0.059893999248743,-0.0498,-0.0986599996685981,0.0143820000812411
1980-04-01,0.0088985559216985,0.0879999995231628,0.142299994826316,0.128900006413459,0.15430000424385,0.0939280923506647,0.0577000007033348,0.0292000006884336,0.0816714385903527,0.060414842916104,0.0788569479919262,0.056592655571163,0.103127002716064,0.0844089984893798,-0.01768,0.0429299995303154,0.0112589998170733
1980-05-01,0.0070323963875946,0.0395999997854232,0.0460000000894069,0.0577999986708164,0.0403999984264373,0.095805256042902,0.0586000010371208,0.0531000010669231,0.075041380278537,0.0644057220928807,0.0992989434161715,0.0777257233042437,0.0281380005180835,0.0692910030484199,0.05687,0.0562100000679492,0.0098970001563429
1980-06-01,0.0068316923574107,0.0116999996826052,0.0286999996751546,0.0249000005424022,0.0162000004202127,0.0310414792572595,0.023199999704957,0.0355000011622905,0.0361728555921317,0.0561770392756276,0.0459719941526353,0.0525160224810954,0.0730649977922439,0.0533020012080669,0.04633,0.0295700002461671,0.0110250003635883
1980-07-01,0.0074242241708528,-0.0063000000081956,-0.0370000004768371,-0.0267999991774559,-0.0381999984383583,-0.0055640252577368,0.0537000000476837,0.0789000019431114,0.056123557353312,0.0851256917390677,0.095188329359655,0.119305538862518,0.0162710007280111,-0.0298529993742704,-0.02412,0.0675999969244003,0.0008079999824985
1980-08-01,0.0088642290322742,-0.0293000005185604,-0.0430000014603138,-0.0406999997794628,-0.0419000014662742,0.0019448196374203,0.0148000000044703,0.0113000003620982,0.026778706076498,0.051134388475817,0.0347511157796837,0.0677113815006721,0.0100450003519654,0.0649430006742477,0.00028,0.0131099997088313,0.0064570000395178
1980-09-01,0.009818162951438,-0.0038999998942017,-0.0267999991774559,-0.0188999995589256,0.0001999999949475,0.0235327248359531,0.0093999998643994,0.0432999990880489,0.0152631044388938,0.0604990339878829,0.021086085599976,0.047304427499243,0.0177979990839958,0.0547679997980594,-0.05698,0.0280600003898143,0.0092219999060034
1980-10-01,0.010725388404704,-0.0076999999582767,-0.0234999991953372,-0.0103000001981854,-0.0237000007182359,0.0056992838253503,-9.99999974737875e-05,0.0342000015079975,0.0023812530492814,0.051206745038885,0.0175309555111164,0.0462798098344313,0.0365290008485317,0.0482919998466968,-0.05267,0.0186500009149312,0.0087409997358918
1980-11-01,0.0119058443215824,-0.0024999999441206,0.0087000001221895,-0.0048000002279877,0.00089999998454,-0.0252747339836516,0.0644000023603439,0.14249999821186,0.0544051475139464,0.157495814848495,0.0368619767919741,0.122508336275878,-0.0112749999389052,-0.0297369994223117,-0.00479,0.109530001878738,0.0090589998289942
1980-12-01,0.0111045468318862,0.0271000005304813,0.0333999991416931,0.0280000008642673,0.0212999992072582,0.0226616415891902,-0.0137999998405575,-0.0439000017940998,-0.0093036945342378,-0.0658453726951257,-0.0078218421825946,-0.04721906087675,-0.0391759984195232,0.0537139996886253,0.02615,-0.0315099991858005,0.0085869999602437
1981-01-01,0.0110234782149358,0.0020999999251216,-0.0091000003740191,-0.001700000022538,0.0070000002160668,-0.0054963758686299,-0.0203000009059906,-0.06700000166893,-0.0173947776869289,-0.0815556689158704,0.0140644264569357,-0.0405214203624146,-0.0373850017786026,0.0100819999352097,-0.00714,-0.0438000001013278,0.008127000182867
1981-02-01,0.0113871392974467,-0.0082000000402331,-0.0377999991178512,-0.0234999991953372,-0.0366999991238117,-0.0327159723227326,0.0138999996706843,0.0273000001907348,0.0125178887463136,0.0145193127782937,0.0335065422550311,0.0062237131342545,-0.0080639999359846,-0.017960000783205,-0.02535,0.0208000000566244,0.0103649999946355
1981-03-01,0.0102690972234897,0.0233999993652105,0.0291000008583068,0.023199999704957,0.0226000007241964,0.0301705288803064,0.0432999990880489,0.0329000018537044,0.061450134581407,0.0365455641665425,0.0725018735418543,0.0593291636889252,0.0207119993865489,0.0509729981422424,-0.01724,0.0379999987781047,0.007218999788165
1981-04-01,0.0118786981357559,-0.0175999999046325,-0.0531000010669231,-0.0516999997198581,-0.061999998986721,-0.0299001673426197,-0.0010000000474974,-0.0412000007927417,0.0117675056907087,-0.0231224461510834,0.0319511734878294,0.0082370358764367,-0.0090039996430277,0.060428999364376,-0.01946,-0.0212999992072582,0.0064130001701414
