date,Gac 1,Gac 2,Gac 3,Gac 4,Gac 5,Gac 6,Gac 7,Gac 8,Gac 9,Gac 10,Gac 11,Gac 12,Gac 13,Gac 14,Gac 15,Core3,Inflation
2003-10-01,0.001091667,-0.00980000011622905,-0.0280000008642673,-0.0104999998584389,-0.00350000010803341,-0.002332928,0.068354892,0.04491113,0.081935049,0.069248878,0.089103134,0.084283495,0.066968985,0.052203616,0.08119981,0.056570036,0.003250271
2003-09-01,0.000958333,0.0217000003904104,0.0529000014066696,0.0357999987900257,0.0170000009238719,0.063833492,-0.01810421,-0.003082589,-0.009838555,-0.020709777,-0.032762733,-0.026007765,0.020360743,0.055485641,0.010918451,-0.010619557,0.003250271
2003-08-01,0.001125,0.00179999996908009,0.0175000000745058,0.00829999987035989,0.0071000000461936,-0.008463896,0.021638548,0.01737283,0.050988497,0.039808946,0.048072823,0.049255624,-0.00174503,0.089558139,0.072147753,0.019502499,0.003806417
2003-07-01,0.001066667,-0.0242999996989965,-0.0917000025510788,-0.0434000007808208,-0.0186999998986721,-0.025887372,0.022202633,0.013090415,0.030055841,0.040869694,0.048874974,0.05512624,0.020518767,0.034173075,0.053751758,0.01763135,0.001088732
2003-06-01,0.000908333,-0.0015999999595806,-0.0157999992370605,-0.00230000005103647,0.0015999999595806,-0.018812081,0.007309857,0.018207971,0.00414834,0.021533713,0.029686717,0.02187066,0.010278521,0.063617588,0.061897652,0.01275684,0.001089918
2003-05-01,0.000941667,0.0156999994069337,0.0570000000298023,0.0324000008404254,0.0007999999797903,0.047325609,0.073613619,0.032553665,0.097711332,0.067610816,0.093216451,0.06755623,0.066049168,0.049347687,0.069580052,0.052687154,-0.001632209
2003-04-01,0.001016667,0.00279999990016222,0.0102000003680586,0.0199999995529651,0.00419999985024333,0.014058635,0.098803904,0.066946998,0.081191335,0.063781129,0.090450637,0.071493224,0.136485587,0.009238341,0.102084083,0.082370548,-0.002171553
2003-03-01,0.000991667,0.000199999994947575,-0.0120999999344348,0.00039999998989515,9.99999974737875e-05,0.005147007,-0.00122975,0.020253111,-0.00324019,0.020484006,-0.003072115,0.019107441,-0.014371233,-0.02944093,-0.03672164,0.00970893,0.006007646
2003-02-01,0.001033333,0.0113000003620982,0.0307999998331069,0.0205000005662441,0.00669999979436397,0.013093295,-0.027242291,-0.002976832,-0.021116831,-0.026650025,-0.037001773,-0.027082138,-0.032608609,0.001034574,-0.029614119,-0.015004014,0.007705008
2003-01-01,0.001091667,-0.00219999998807907,-0.00340000004507601,0.00419999985024333,0.00240000011399388,0.018651582,-0.027363609,-0.025044282,-0.034614097,-0.023596964,-0.041316555,-0.027414423,-0.047206944,-0.027782686,0.000898204,-0.026196185,0.004422333
2002-12-01,0.0011,0.0185000002384185,0.0414999984204769,0.0305000003427267,0.0104000000283122,0.057708611,-0.05195408,-0.065005133,-0.037065992,-0.045173097,-0.026457251,-0.04058904,-0.03616456,-0.026967332,-0.037845234,-0.058748018,-0.002206288
2002-11-01,0.0013,-0.00789999961853027,-0.010700000450015,0.015599999576807,-0.000699999975040555,0.004622451,0.070249975,0.048543146,0.064165578,0.051985193,0.054007719,0.050232135,0.049124695,0.036534375,0.069390427,0.058859137,0.0
2002-10-01,0.001216667,-0.000699999975040555,-0.0287999995052814,-0.0133999995887279,0.00380000006407499,-0.001849021,0.083141136,0.092482059,0.039973608,0.04652255,0.020059885,0.043358843,0.096706395,-0.039767791,0.064216048,0.088016446,0.001657459
2002-09-01,0.001266145,0.0172000005841255,0.0410999990999698,0.0190999992191791,0.0071000000461936,0.00607975,-0.11426,-0.10354,-0.09835,-0.06233,-0.073559999,-0.04944,-0.13152966,-0.04895474,-0.11110706,-0.108679508,0.00166021
2002-08-01,0.001454966897936,0.0114000001922249,0.0443000011146068,0.0264999996870756,0.00789999961853027,0.016309579834342,0.00687000015750527,0.00626999977976083,0.00875999964773655,0.00112000002991408,-0.00133999995887279,0.0199800003319978,6.33200033917091e-05,-0.00696644000709056,0.0129520297050476,0.00657000020146369,0.00333148008212447
2002-07-01,0.00161884172415804,0.0187999997287988,0.0308999996632337,-0.00359999993816018,0.0114000001922249,0.00574648985639214,-0.108099997043609,-0.0480099990963935,-0.103699997067451,-0.0898300036787986,-0.162579998373985,-0.119640000164508,-0.111164636909961,-0.067359909415245,-0.0633208900690078,-0.0779500007629394,0.00111173000186681
2002-06-01,0.00181510294745845,0.0125000001862645,0.018300000578165,9.99999974737875e-05,0.00820000004023313,0.058899700641632,-0.0630600005388259,-0.0802199989557266,-0.0562199987471103,-0.092189997434616,-0.0447300001978874,-0.0594599992036819,-0.0343041718006134,-0.0520003214478492,-0.072157010436058,-0.0712400004267692,0.000556170009076595
2002-05-01,0.00193755174338994,0.00700000021606683,0.0032999999821186,0.0141000002622604,0.00730000017210841,0.035463199019432,0.00399000011384487,-0.0193799994885921,-0.0173599999397993,-0.0163199994713068,-0.0379000008106231,-0.0456000007688999,-0.00184600998181849,0.0525954999029636,-0.0163717195391654,-0.00736999977380037,0.0
2002-04-01,0.00204354121466887,0.0186999998986721,0.0381999984383583,0.0126000000163912,0.0188999995589256,0.0394512899219989,-0.0500999987125396,-0.0715499967336654,0.0149999996647238,-0.025849999859929,0.0408999994397163,0.014390000142157,-0.00680400012060999,0.044816430658102,0.00926456972956657,-0.0606300011277198,0.00559283979237079
