date,return
1980-02-01,0.00413992846416433
1980-03-01,-0.134956077246323
1980-04-01,0.0832048297525425
1980-05-01,0.0871550177954782
1980-06-01,0.0782676554911132
1980-07-01,0.0889724830083618
1980-08-01,0.0486962918681286
1980-09-01,0.0782185473594025
1980-10-01,0.0606650702457836
1980-11-01,0.119384179396225
1980-12-01,-0.0300062388123281
1981-01-01,-0.00931847458427581
1981-02-01,0.0237033517974525
1981-03-01,0.0959200887466673
1981-04-01,0.0308734196226263
1981-05-01,0.065302559698368
1981-06-01,-0.0101217116723124
1981-07-01,-0.00139370327973309
1981-08-01,-0.0767084713803218
1981-09-01,-0.0699901638729147
1981-10-01,0.104493668675224
1981-11-01,0.0441191132801377
1981-12-01,-0.0253517534589229
1982-01-01,-0.0293840183013108
1982-02-01,-0.0233257717763116
1982-03-01,0.0
1982-04-01,0.0828251993373099
1982-05-01,-0.0292903820487576
1982-06-01,0.00365067089723125
1982-07-01,-0.00467603640111147
1982-08-01,0.0923807918839765
1982-09-01,0.0396562353607636
1982-10-01,0.143841370840094
1982-11-01,0.108878565966317
1982-12-01,0.0326095626337861
1983-01-01,0.0607013745762894
1983-02-01,0.0611972256028179
1983-03-01,0.0676429217836642
1983-04-01,0.105110034455577
1983-05-01,0.0329143495301347
1983-06-01,0.0527756770352179
1983-07-01,-0.0347096934914292
1983-08-01,-0.0223660856519416
1983-09-01,0.0335060850708615
1983-10-01,-0.0434898002277924
1983-11-01,0.0449157962221056
1983-12-01,-0.0155559438755655
1984-01-01,-0.00911085158454494
1984-02-01,-0.0648832615166254
1984-03-01,0.0179244942234915
1984-04-01,-0.00795254310608184
1984-05-01,-0.0682154964993311
1984-06-01,0.0323031791424284
1984-07-01,-0.0158143182949072
1984-08-01,0.116581411840439
1984-09-01,0.0018374590985617
1984-10-01,0.0128377825856689
1984-11-01,-0.0120717256049821
1984-12-01,0.0290174892381145
1985-01-01,0.101216064169152
1985-02-01,0.00700566519309986
1985-03-01,0.00883437399434439
1985-04-01,0.00530456339873142
1985-05-01,0.054063874963562
1985-06-01,0.0299128824973404
1985-07-01,0.00751401038517807
1985-08-01,0.00488758647646658
1985-09-01,-0.0468597108876133
1985-10-01,0.0647531506073666
1985-11-01,0.0845302704995163
1985-12-01,0.0518848773698512
1986-01-01,0.0393667079918611
1986-02-01,0.10343042558243
1986-03-01,0.0673111857237449
1986-04-01,0.00451505583548139
1986-05-01,0.0328619292980838
1986-06-01,0.0238354557948676
1986-07-01,-0.0666997569602496
1986-08-01,0.0643412548966646
1986-09-01,-0.0850092237920591
1986-10-01,0.0522516392900898
1986-11-01,0.0100418489613829
1986-12-01,-0.0148291161328502
1987-01-01,0.130010111781159
1987-02-01,0.0741524279588243
1987-03-01,0.0128625586100235
1987-04-01,-0.0162069363797683
1987-05-01,0.00102198388098684
1987-06-01,0.0413946160724392
1987-07-01,0.0488684254090203
1987-08-01,0.0401611740919918
1987-09-01,-0.0245688580612297
1987-10-01,-0.258055429325317
1987-11-01,-0.0755171861255379
1987-12-01,0.0974262018691953
1988-01-01,0.0396509900858623
1988-02-01,0.0606819946941012
1988-03-01,-0.00271280913286064
1988-04-01,0.0179136241106276
1988-05-01,-0.00267231759217545
1988-06-01,0.068350662904123
1988-07-01,-0.00648440266392669
1988-08-01,-0.0317754109755734
1988-09-01,0.0419483249654117
1988-10-01,0.0208599984435686
1988-11-01,-0.0134858142307192
1988-12-01,0.019646902257254
1989-01-01,0.08112732249887
1989-02-01,-0.0162692962540436
1989-03-01,0.029769029403273
1989-04-01,0.0502681896032037
1989-05-01,0.0527963985448609
1989-06-01,-0.00867828393595226
1989-07-01,0.0840214163116859
1989-08-01,0.0261574187113298
1989-09-01,0.0173090292156883
1989-10-01,-0.0314002976106054
1989-11-01,0.0164481286067719
1989-12-01,0.00625752001276191
1990-01-01,-0.0644935214430375
1990-02-01,0.0205365641026906
1990-03-01,0.0255541526234612
1990-04-01,-0.0252569347474034
1990-05-01,0.0889444666437329
1990-06-01,0.00434596881377324
1990-07-01,-0.0113192688501525
1990-08-01,-0.0979807173071401
1990-09-01,-0.0634556000640645
1990-10-01,-0.012355481362718
1990-11-01,0.0756643451292635
1990-12-01,0.0310336894151383
1991-01-01,0.0699069662674998
1991-02-01,0.086828026033884
1991-03-01,0.0339672011302405
1991-04-01,0.00369891751250306
1991-05-01,0.057021541630148
1991-06-01,-0.0587616990664501
1991-07-01,0.0621114991689315
1991-08-01,0.0307386890490182
1991-09-01,-0.00378213960194162
1991-10-01,0.0134326513814704
1991-11-01,-0.0494229661105369
1991-12-01,0.11802468542703
1992-01-01,0.00043752879558645
1992-02-01,0.0202486865522351
1992-03-01,-0.027129756328018
1992-04-01,0.0148244503626686
1992-05-01,0.00958168259863012
1992-06-01,-0.0176144091148932
1992-07-01,0.0280632561527855
1992-08-01,-0.0216850097687092
1992-09-01,0.0114706687772589
1992-10-01,0.00704914414779289
1992-11-01,0.0252632101983369
1992-12-01,0.0193875435847901
1993-01-01,0.0263443779796739
1993-02-01,0.0208764191973347
1993-03-01,0.0366564746469935
1993-04-01,0.0097895894501554
1993-05-01,0.0394139196281044
1993-06-01,0.0139455645667971
1993-07-01,0.0110306407222784
1993-08-01,0.0588064630384002
1993-09-01,0.0108414882323606
1993-10-01,0.000661081304306421
1993-11-01,-0.032944676949152
1993-12-01,0.0298681200004791
1994-01-01,0.0395200076231871
1994-02-01,-0.00733315717172833
1994-03-01,-0.0463674753732196
1994-04-01,0.0100405340161136
1994-05-01,-0.0115206937689479
1994-06-01,-0.0433879238362592
